concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
37310453,CGAS (Children's Global Assessment Scale) - Some problems,Observation,SNOMED,Clinical Finding,S,1105321000000109,0000-00-00,0000-00-00,
37310303,Rockwood Clinical Frailty Scale level 2 - well,Observation,SNOMED,Clinical Finding,S,1129341000000105,0000-00-00,0000-00-00,
37310302,Rockwood Clinical Frailty Scale level 3 - managing well,Observation,SNOMED,Clinical Finding,S,1129351000000108,0000-00-00,0000-00-00,
37310301,Rockwood Clinical Frailty Scale level 4 - vulnerable,Observation,SNOMED,Clinical Finding,S,1129361000000106,0000-00-00,0000-00-00,
37310300,Rockwood Clinical Frailty Scale level 5 - mildly frail,Observation,SNOMED,Clinical Finding,S,1129371000000104,0000-00-00,0000-00-00,
37310299,Rockwood Clinical Frailty Scale level 6 - moderately frail,Observation,SNOMED,Clinical Finding,S,1129381000000102,0000-00-00,0000-00-00,
37310298,Rockwood Clinical Frailty Scale level 7 - severely frail,Observation,SNOMED,Clinical Finding,S,1129391000000100,0000-00-00,0000-00-00,
37310297,Rockwood Clinical Frailty Scale level 8 - very severely frail,Observation,SNOMED,Clinical Finding,S,1129401000000102,0000-00-00,0000-00-00,
37310296,Rockwood Clinical Frailty Scale level 9 - terminally ill,Observation,SNOMED,Clinical Finding,S,1129411000000100,0000-00-00,0000-00-00,
4271920,Trunk control - finding,Observation,SNOMED,Clinical Finding,S,364818002,0000-00-00,0000-00-00,
4273017,Puberty stage - finding,Observation,SNOMED,Clinical Finding,S,365400002,0000-00-00,0000-00-00,
4267229,Depth of anesthesia - finding,Observation,SNOMED,Clinical Finding,S,365406008,0000-00-00,0000-00-00,
4276280,Willingness to be a donor - finding,Observation,SNOMED,Clinical Finding,S,365571001,0000-00-00,0000-00-00,
4276588,Morbidity index - finding,Observation,SNOMED,Clinical Finding,S,365872002,0000-00-00,0000-00-00,
4271383,Tolerance of ambient temperature - finding,Observation,SNOMED,Clinical Finding,S,366011005,0000-00-00,0000-00-00,
4268980,General development - finding,Observation,SNOMED,Clinical Finding,S,366055004,0000-00-00,0000-00-00,
4269135,Respiratory volume - finding,Measurement,SNOMED,Clinical Finding,S,366148004,0000-00-00,0000-00-00,
4277352,Cardiovascular measurement - finding,Observation,SNOMED,Clinical Finding,S,366157005,0000-00-00,0000-00-00,
4182004,Peripheral blood flow - finding,Observation,SNOMED,Clinical Finding,S,366214009,0000-00-00,0000-00-00,
40480491,Detected by measurement,Measurement,SNOMED,Clinical Finding,S,441773004,0000-00-00,0000-00-00,
40481628,Intraabdominal pressure above reference range,Observation,SNOMED,Clinical Finding,S,445004006,0000-00-00,0000-00-00,
37310501,CGAS (Children's Global Assessment Scale) - Extremely impaired,Observation,SNOMED,Clinical Finding,S,844871000000101,0000-00-00,0000-00-00,
37310500,CGAS (Children's Global Assessment Scale) - Very severely impaired,Observation,SNOMED,Clinical Finding,S,846151000000105,0000-00-00,0000-00-00,
37310504,CGAS (Children's Global Assessment Scale) - Severe problems,Observation,SNOMED,Clinical Finding,S,846471000000109,0000-00-00,0000-00-00,
37310503,CGAS (Children's Global Assessment Scale) - Obvious problems,Observation,SNOMED,Clinical Finding,S,847421000000108,0000-00-00,0000-00-00,
37310454,CGAS (Children's Global Assessment Scale) - Doing all right,Observation,SNOMED,Clinical Finding,S,1116831000000105,0000-00-00,0000-00-00,
4161577,WHO performance status grade 1,Observation,SNOMED,Clinical Finding,S,373804000,0000-00-00,0000-00-00,
4161578,WHO performance status grade 2,Observation,SNOMED,Clinical Finding,S,373805004,0000-00-00,0000-00-00,
4162590,WHO performance status grade 3,Observation,SNOMED,Clinical Finding,S,373806003,0000-00-00,0000-00-00,
4161579,WHO performance status grade 4,Observation,SNOMED,Clinical Finding,S,373807007,0000-00-00,0000-00-00,
8532,FEMALE,Gender,Gender,Gender,S,F,0000-00-00,0000-00-00,
8507,MALE,Gender,Gender,Gender,S,M,0000-00-00,0000-00-00,
36685455,GOLD (Global Initiative for Chronic Obstructive Lung Disease) 2017 spirometric grade 1,Condition,SNOMED,Clinical Finding,S,1097911000000104,0000-00-00,0000-00-00,
36685456,GOLD (Global Initiative for Chronic Obstructive Lung Disease) 2017 spirometric grade 2,Condition,SNOMED,Clinical Finding,S,1097921000000105,0000-00-00,0000-00-00,
