ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
441840,4270980,2,2
441840,4184252,1,1
441840,4267356,2,2
441840,4314442,1,1
441840,37017389,2,2
441840,4080732,2,2
444100,607540,2,2
441840,40480163,2,2
441840,4269314,2,2
441840,44790787,2,2
441840,4031885,1,1
441840,4241080,2,2
378253,605546,2,2
441840,4102113,2,2
37311947,192671,1,1
441840,4115247,2,2
441840,4134711,2,2
441840,42690070,2,2
40483287,192279,2,2
441840,37018196,2,2
42709887,44782429,2,2
441840,4146362,2,2
441840,4223692,2,2
441840,4154783,1,1
441840,4118793,2,2
441840,602247,1,1
441840,4023993,2,2
441840,4323965,2,2
441840,4136529,2,2
441840,45766827,2,2
441840,44807973,2,2
441840,44790785,2,2
441840,4248672,2,2
441840,4290272,2,2
43021852,43020456,1,1
43022059,375557,2,2
43531578,45757445,2,2
441840,4134539,2,2
441840,4113999,2,2
441840,4128820,2,2
43531653,45757446,1,1
441840,603161,2,2
43531578,45757444,2,2
43531578,43531559,1,1
43531578,45771064,1,1
43531578,45769906,1,1
43531578,45757447,2,2
441840,40483843,2,2
441840,43021220,2,2
43531578,43531653,1,1
43531578,43531577,1,1
43531578,45757446,2,2
43531578,43531562,1,1
43531578,43531566,1,1
441840,4168014,2,2
44792250,46284591,1,1
441840,4243048,2,2
44782429,37018886,1,1
44782429,44784638,2,2
44782429,44782703,1,1
433736,40481140,1,1
441840,40478959,1,1
441840,44804532,2,2
44789510,45770687,2,2
44792252,46284599,1,1
44782691,43021835,1,1
44782429,46270354,2,2
441840,4305173,2,2
44782429,43021836,2,2
44792250,46284592,1,1
44782429,46273514,2,2
441840,4075140,2,2
441840,44788314,2,2
441840,765824,2,2
44782429,43020456,2,2
44782429,46273164,2,2
44792232,46284588,1,1
441840,4336385,2,2
44782429,44782692,1,1
44792254,46284603,1,1
44782429,46270355,2,2
441840,4100328,2,2
44782691,46273636,1,1
441840,4255387,2,2
44782429,44782717,2,2
443883,606081,2,2
441840,4185196,2,2
441840,4353715,2,2
441840,4240216,2,2
44792232,46284587,1,1
441840,46271754,2,2
441840,4132897,2,2
441840,44782861,2,2
441840,4049010,2,2
44782429,44782691,1,1
441840,4199701,2,2
44782429,43021852,1,1
44782429,46270353,1,1
441840,44791578,2,2
44782691,43020456,1,1
44782429,44782689,1,1
44782429,43021835,2,2
44782429,45757139,2,2
44782429,46270356,2,2
441840,4311860,2,2
44782429,43021853,2,2
44782429,45757137,2,2
441840,436233,2,2
441840,42710023,2,2
44782429,43020457,2,2
44811805,45770687,1,1
441840,607915,2,2
441840,44813845,2,2
44782429,44784640,2,2
44782429,43021854,2,2
378253,4319470,2,2
44782429,44784639,2,2
44782429,46273636,2,2
443883,609269,1,1
441840,4339398,2,2
44782429,44784621,1,1
443883,606142,2,2
441840,4042141,1,1
44782429,45757356,1,1
44792254,46284600,1,1
441840,4108462,1,1
441840,4252222,2,2
441840,37016915,2,2
441840,4242214,2,2
44782429,43020437,2,2
44792252,46284597,1,1
441840,36685757,2,2
44783587,378253,2,2
44792252,46284598,1,1
44792250,46284593,1,1
44784621,43021835,1,1
443883,4130012,2,2
44782429,44782690,1,1
44782429,43020455,2,2
441840,4193641,2,2
441840,4215729,2,2
441840,44809110,2,2
44792254,46284602,1,1
441840,608120,2,2
441840,4230389,2,2
441840,4085423,2,2
444100,607543,2,2
44792232,46286992,1,1
441840,46284412,2,2
441840,4213728,2,2
441840,44805189,2,2
441840,765399,2,2
378253,376382,2,2
441840,4201005,2,2
441840,4081301,2,2
45773688,45771067,1,1
441840,37208164,2,2
255573,605067,2,2
45773688,45769902,1,1
441840,4202835,2,2
45763855,44792250,1,1
443883,4100536,1,1
441840,4100611,2,2
45757363,45769875,1,1
441840,4104314,1,1
441840,4030914,2,2
441840,4183716,2,2
441840,44790722,2,2
441840,44805497,2,2
441840,4024567,1,1
441840,40480892,2,2
321588,314370,2,2
441840,138239,1,1
45763855,44792251,1,1
316866,44784484,2,2
441840,4221632,2,2
441840,44802299,2,2
441840,37019174,2,2
441840,4212577,1,1
441840,4055082,2,2
441840,4177861,2,2
441840,4266188,2,2
441840,4217324,2,2
441840,44793339,2,2
441840,444112,1,1
441840,37395456,2,2
441840,44808783,2,2
441840,35608576,2,2
441840,4097003,2,2
441840,4179285,2,2
441840,42690029,2,2
441840,4021783,1,1
441840,435720,2,2
441840,4206530,2,2
441840,4185191,2,2
441840,43021208,2,2
441840,42690025,2,2
441840,4123283,2,2
45773688,45769903,1,1
441840,4095696,2,2
441840,4182032,2,2
